Cong ID,Congregation Name,Number of Youth Male,Number of Youth Female,Number of Youth Nonbinary,Number of Youth Gender Non-Conforming,Number of Adult Male,Number of Adult Female,Number of Adult Nonbinary,Number of Adult Gender Non-Conforming,Number of MYLE participants,Number of the tAble participants,Doubles Requested,Kings Requested,Priority Incentive,Hotel Price Range,Hotel Location
5905,Palm Valley Lutheran Church,2,3,,,1,1,,,,,2,2,Hotel price,$151-165 + tax,Downtown
7514,Peace Evangelical Lutheran Church,7,3,,,2,1,,,,,3,2,Accompaniment experience,$151-165 + tax,Superdome
12792,Peace First Lutheran Church,2,2,,1,1,1,,,,,4,,Hotel location,$151-165 + tax,Superdome
13058,Peace Lutheran Church,,1,,,,2,,,,,1,,Hotel location,$166-185 + tax,Superdome
16215,Peace Lutheran Church,,2,,,,1,,,,,1,,Hotel price,$140-150 + tax,Superdome
16445,Peace Lutheran Church,4,4,,,1,1,,,,,2,2,Accompaniment experience,$151-165 + tax,Downtown
16183,Peace Lutheran Church,,7,,,,2,,,,,3,,Accompaniment experience,$151-165 + tax,French Quarter
7169,Peace Lutheran Church,2,,,,1,1,,,,,3,,Hotel location,$151-165 + tax,Superdome
16069,Peace Lutheran Church,2,3,,,1,3,,,,,3,2,Hotel location,$140-150 + tax,Downtown
14309,Peace Lutheran Church,3,3,,,,3,,,,,3,2,Hotel price,$140-150 + tax,Convention Center
7841,Peace Lutheran Church,2,3,,,1,2,,,,,3,5,Hotel location,$151-165 + tax,Superdome
12929,Peace Lutheran Church,2,3,,,1,2,,,,,4,1,Hotel location,$151-165 + tax,Downtown
1645,Peace Lutheran Church,8,1,,,1,3,,,,,4,2,Accompaniment experience,$151-165 + tax,Downtown
13159,Peace Lutheran Church,3,6,,1,3,5,,,2,6,5,,Accompaniment experience,$151-165 + tax,Convention Center
14508,Peace Lutheran Church,3,4,,,1,2,,,,,5,,Hotel location,,Downtown
16098,Peace Lutheran Church,12,14,,,1,3,,,,,8,2,Hotel location,$151-165 + tax,Downtown
13704,Peace Lutheran Church,30,56,,1,4,10,,2,,2,30,4,Hotel location,$166-185 + tax,Downtown
30221,People Of Hope,2,3,,2,2,2,,,,2,3,1,Hotel location,$166-185 + tax,Downtown
12983,Phinney Ridge Lutheran Church,4,2,,,1,1,,,,,2,2,Hotel location,$140-150 + tax,Downtown
20081,Pilgrim Lutheran Church,,,,,1,,,,,,,,,,
20050,Pilgrim Lutheran Church,3,3,,,1,,,,7,,1,2,Hotel location,$140-150 + tax,Superdome
6853,Pioneer Lake Lutheran Church,1,2,,,1,1,,,,,3,,Hotel location,$151-165 + tax,Downtown
5713,Pisgah Lutheran Church,3,7,,,1,3,,,,,4,2,Hotel price,$151-165 + tax,Downtown
31281,Pointe Of Grace,4,2,,,,2,,,8,,1,2,Hotel price,$140-150 + tax,Convention Center
16304,Prairie Lutheran Church,,4,,,,1,,,,,2,,Hotel location,$151-165 + tax,French Quarter
888,Prince Of Peace Lutheran Church,,1,,1,,2,,,,,,,,,
7190,Prince Of Peace Lutheran Church,1,,,,,1,,,,2,1,,,,
11296,Prince Of Peace Lutheran Church,2,3,,,2,1,,,,,2,2,Hotel location,$166-185 + tax,French Quarter
10781,Prince of Peace Lutheran Church,3,4,,1,2,3,,,,,2,3,Hotel location,$151-165 + tax,Superdome
16037,Prince of Peace Lutheran Church,3,5,,,,3,,,,,3,,Accompaniment experience,,Downtown
11929,Prince Of Peace Lutheran Church,3,5,,,,2,,,,,4,,Accompaniment experience,$151-165 + tax,French Quarter
4506,Prince of Peace Lutheran Church,2,1,,,1,2,,,,,4,2,Hotel location,$140-150 + tax,Downtown
7725,Prince Of Peace Lutheran Church,7,7,,,1,2,,,,,4,2,Hotel price,$151-165 + tax,Downtown
3757,Prince Of Peace Lutheran Church,2,6,,,1,4,,,,3,5,,Accompaniment experience,$166-185 + tax,Downtown
11298,Prince Of Peace Lutheran Church,3,4,,1,2,2,,,,,5,,Hotel location,$166-185 + tax,Downtown
4689,Prince Of Peace Lutheran Church,11,17,,,2,6,,,,,10,5,Hotel location,$166-185 + tax,Downtown
11292,Providence Lutheran Church,4,2,,,,2,,,,,,,,,
5730,Redeemer Lutheran Church,2,6,,,2,3,,,,13,,,,,
11203,Redeemer Lutheran Church,4,2,,,1,2,,,,,,,,,
3789,Redeemer Lutheran Church,1,2,,,1,2,,,,,2,,Hotel location,$166-185 + tax,Downtown
20060,Redeemer Lutheran Church,1,3,,,1,1,,,,,2,2,Accompaniment experience,$151-165 + tax,French Quarter
10520,Redeemer Lutheran Church,3,5,,,1,2,,,,,2,2,Hotel location,$166-185 + tax,Downtown
13139,Redeemer Lutheran Church,3,2,,,1,1,,,,,2,2,Hotel location,$140-150 + tax,Downtown
